enhedsnummer,cvrnummer,vaerdinavn,vaerdi,vaerditype,sekvensnr,gyldigfra,gyldigtil,sidstopdateret
4001467641,28118546,BØRSNOTERET,true,boolean,0,2007-01-01,2015-03-03,
4001495171,28486669,BØRSNOTERET,true,boolean,0,2007-01-01,2015-03-03,
4001430759,27492797,BØRSNOTERET,true,boolean,0,2005-01-01,2017-11-30,
3047225,27241654,BØRSNOTERET,true,boolean,0,2005-01-01,2016-01-26,
4000984001,18984431,BØRSNOTERET,true,boolean,0,2013-01-01,2016-08-02,
4000984001,18984431,BØRSNOTERET,false,boolean,0,2016-08-03,2019-01-03,
4000330809,12617917,BØRSNOTERET,true,boolean,0,2005-01-01,2019-04-05,
4001520739,28710240,BØRSNOTERET,true,boolean,0,2007-01-01,2200-01-01,
4001143425,49639910,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4001435494,27470521,BØRSNOTERET,true,boolean,0,2005-01-01,2017-09-05,
3351329,20420472,BØRSNOTERET,false,boolean,0,2014-03-19,2017-05-15,
3351329,20420472,BØRSNOTERET,true,boolean,0,2006-10-27,2014-03-18,
4000391143,44318415,BØRSNOTERET,true,boolean,0,2005-01-01,2017-01-12,
4000391143,44318415,BØRSNOTERET,false,boolean,0,2017-01-13,2017-12-21,
3580731,17464582,BØRSNOTERET,true,boolean,0,2006-06-09,2014-03-18,
3580731,17464582,BØRSNOTERET,false,boolean,0,2014-03-19,2017-05-15,
4176031,15472588,BØRSNOTERET,false,boolean,0,2014-03-19,2017-05-15,
4176031,15472588,BØRSNOTERET,true,boolean,0,2006-06-09,2014-03-18,
4328931,30602102,BØRSNOTERET,true,boolean,0,2013-01-01,2016-03-14,
4328931,30602102,BØRSNOTERET,false,boolean,0,2016-03-15,2200-01-01,
3586670,21408395,BØRSNOTERET,true,boolean,0,2007-01-01,2200-01-01,
4001549772,29149860,BØRSNOTERET,true,boolean,0,2007-07-06,2016-02-17,
4001549772,29149860,BØRSNOTERET,false,boolean,0,2016-02-18,2200-01-01,
4176034,21443379,BØRSNOTERET,false,boolean,0,2014-03-19,2017-05-15,
4176034,21443379,BØRSNOTERET,true,boolean,0,2006-06-22,2014-03-18,
4001496017,28483597,BØRSNOTERET,true,boolean,0,2006-09-14,2014-03-18,
4001496017,28483597,BØRSNOTERET,false,boolean,0,2014-03-19,2017-05-15,
4001544544,29208638,BØRSNOTERET,false,boolean,0,2014-03-19,2017-05-15,
4001544544,29208638,BØRSNOTERET,true,boolean,0,2006-06-22,2014-03-18,
5242782,31080185,BØRSNOTERET,true,boolean,0,2016-02-10,2200-01-01,
4000796299,10268311,BØRSNOTERET,false,boolean,0,2016-08-31,2200-01-01,
4000796299,10268311,BØRSNOTERET,true,boolean,0,2005-01-01,2016-08-30,
4000334204,71186911,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
2955224,12626509,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
2292737,63965812,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4001470171,28101414,BØRSNOTERET,false,boolean,0,2015-12-31,2200-01-01,
4001470171,28101414,BØRSNOTERET,true,boolean,0,2007-01-01,2015-12-30,
4001121078,36591528,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4000867190,14246045,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4000506565,36850019,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
3476184,76800014,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4000331551,15300574,BØRSNOTERET,false,boolean,0,2017-06-29,2200-01-01,
4000331551,15300574,BØRSNOTERET,true,boolean,0,2005-01-01,2017-06-28,
5784233,15313714,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4363844,24208036,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4001373174,26791413,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
1015416,36440414,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4000996964,19659038,BØRSNOTERET,false,boolean,0,2015-08-18,2200-01-01,
4000996964,19659038,BØRSNOTERET,true,boolean,0,2005-01-01,2015-08-17,
4001011456,19828131,BØRSNOTERET,true,boolean,0,2006-12-05,2200-01-01,
2661005,45801012,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4000815419,10634970,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4001536675,29190496,BØRSNOTERET,true,boolean,0,2006-10-30,2014-11-12,
4000331687,15807830,BØRSNOTERET,true,boolean,0,2007-01-01,2200-01-01,
3335356,42809616,BØRSNOTERET,true,boolean,0,2005-01-01,2016-12-16,
4001289592,25695771,BØRSNOTERET,true,boolean,0,2005-06-10,2014-07-28,
4176030,11748503,BØRSNOTERET,false,boolean,0,2014-03-19,2200-01-01,
4176030,11748503,BØRSNOTERET,true,boolean,0,2006-04-10,2014-03-18,
4000969680,18618931,BØRSNOTERET,true,boolean,0,2007-01-01,2200-01-01,
3160447,12932502,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4623767,30823702,BØRSNOTERET,true,boolean,0,2013-01-01,2200-01-01,
671758,34485216,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4001150722,53288928,BØRSNOTERET,true,boolean,0,2005-01-01,2016-03-16,
2861176,10498899,BØRSNOTERET,true,boolean,0,2005-01-01,2018-11-27,
4001156848,50020010,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
3485784,15619376,BØRSNOTERET,true,boolean,0,2012-01-01,2015-08-17,
3485784,15619376,BØRSNOTERET,false,boolean,0,2015-08-18,2200-01-01,
1958361,31122112,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4000333273,31226511,BØRSNOTERET,false,boolean,0,2016-10-10,2017-12-21,
4000333273,31226511,BØRSNOTERET,true,boolean,0,2005-01-01,2016-10-09,
4004374027,21174548,BØRSNOTERET,true,boolean,0,2008-06-04,2018-11-20,
4001142029,44065118,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
995849,37760412,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4000907082,15505281,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4001942689,34880522,BØRSNOTERET,true,boolean,0,2013-03-20,2200-01-01,
3433117,28500971,BØRSNOTERET,true,boolean,0,2013-12-27,2200-01-01,
4001493184,28283245,BØRSNOTERET,true,boolean,0,2005-09-29,2014-11-12,
4001172122,67758919,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
1406416,34018413,BØRSNOTERET,true,boolean,0,2005-01-01,2016-08-10,
1406416,34018413,BØRSNOTERET,false,boolean,0,2016-08-11,2017-04-26,
3290132,13737584,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4000333295,32127711,BØRSNOTERET,true,boolean,0,2005-01-01,2014-01-15,
2160710,10403782,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
485992,58868728,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4000331685,15773928,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4001105301,24233359,BØRSNOTERET,true,boolean,0,2006-02-22,2200-01-01,
5237575,30065743,BØRSNOTERET,true,boolean,0,2007-10-15,2016-09-23,
4113025,28312504,BØRSNOTERET,true,boolean,0,2000-12-12,2200-01-01,
2753814,83933410,BØRSNOTERET,true,boolean,0,2005-05-01,2200-01-01,
4000573083,25508343,BØRSNOTERET,true,boolean,0,2013-01-01,2200-01-01,
5214609,10998530,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4001676254,30558642,BØRSNOTERET,true,boolean,0,2013-01-01,2200-01-01,
2089153,64865218,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
