id,financial_statement_id,fieldName,fieldValue,decimals,cvrnummer,startDate,endDate,dimensions,unitIdXbrl,koncern
15449,110,gsd:NameOfReportingEntity,Gummersbach 2003 ApS,,27416349,2016-01-01,2016-12-31,,,0
15456,110,fsa:ProfitLoss_RetainedEarningsMember,0,0,27416349,2016-01-01,2016-12-31,,iso4217:DKK,0
15461,110,fsa:CurrentAssets,130000,0,27416349,,2016-12-31,,iso4217:DKK,0
15465,110,gsd:AddressOfAuditorStreetBuildingIdentifier_auditorIdentifier,9,,27416349,2016-01-01,2016-12-31,1,,0
15469,110,arr:OpinionOnAuditedFinancialStatements,"Det er vores opfattelse, at årsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31.12.16 samt af resultatet af selskabets aktiviteter for regnskabsåret 01.01.16 - 31.12.16 i overensstemmelse med årsregnskabsloven.",,27416349,2016-01-01,2016-12-31,,,0
15473,110,fsa:ShorttermReceivables,130000,0,27416349,,2016-12-31,,iso4217:DKK,0
15477,110,fsa:DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfReceivables,"Tilgodehavender måles til amortiseret kostpris, hvilket sædvanligvis svarer til pålydende værdi med fradrag af nedskrivninger til imødegåelse af tab.

Nedskrivninger til imødegåelse af tab opgøres på grundlag af en individuel vurdering af de enkelte tilgodehavender, når der på individuelt niveau foreligger en objektiv indikation på, at et tilgodehavende er værdiforringet.",,27416349,2016-01-01,2016-12-31,,,0
15481,110,sob:ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,"Det er min opfattelse, at årsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31.12.16 og resultatet af selskabets aktiviteter for regnskabsåret 01.01.16 - 31.12.16.",,27416349,2016-01-01,2016-12-31,,,0
15485,110,fsa:DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfGrossProfitLoss,Bruttotab indeholder andre eksterne omkostninger.,,27416349,2016-01-01,2016-12-31,,,0
15489,110,fsa:DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,"Selskabets formål er at drive aktiviteter i forbindelse med finansiering, investering og lignende.",,27416349,2016-01-01,2016-12-31,,,0
15494,110,arr:StatementOfExecutiveAndSupervisoryBoardsResponsibilityForFinancialStatements,"Ledelsen har ansvaret for udarbejdelsen af et årsregnskab, der giver et retvisende billede i overensstemmelse med årsregnskabsloven. Ledelsen har endvidere ansvaret for den interne kontrol, som ledelsen anser for nødvendig for at udarbejde et årsregnskab uden væsentlig fejlinformation, uanset om denne skyldes besvigelser eller fejl.
Ved udarbejdelsen af årsregnskabet er ledelsen ansvarlig for at vurdere selskabets evne til at fortsætte driften, at oplyse om forhold vedrørende fortsat drift, hvor dette er relevant, samt at udarbejde årsregnskabet på grundlag af regnskabsprincippet om fortsat drift, medmindre ledelsen enten har til hensigt at likvidere selskabet, indstille driften eller ikke har andet realistisk alternativ end at gøre dette.",,27416349,2016-01-01,2016-12-31,,,0
