orgnavn,enhedsnummer_deltager,enhedsnummer_virksomhed,vaerdinavn,vaerdi,gyldigfra,gyldigtil,enhedstype_deltager,cvrnummer_deltager,cvrnummer_virksomhed
Reelle ejere,4003889845,4445829,FUNKTION,Reel ejer,2006-05-01,2200-01-01,PERSON,-1,71172112
Reelle ejere,4003889845,4445829,SÆRLIGE_EJERFORHOLD,Har indirekte besiddelser,2006-05-01,2200-01-01,PERSON,-1,71172112
Reelle ejere,4003889845,4445829,EJERANDEL_PROCENT,0.92,2006-05-01,2200-01-01,PERSON,-1,71172112
Reelle ejere,4003889845,4445829,EJERANDEL_STEMMERET_PROCENT,0.92,2006-05-01,2200-01-01,PERSON,-1,71172112
Reelle ejere,4004261698,5777784,EJERANDEL_PROCENT,0.6276,2008-07-09,2200-01-01,ANDEN_DELTAGER,-1,30507029
Reelle ejere,4004261698,5777784,SÆRLIGE_EJERFORHOLD,Har indirekte besiddelser,2008-07-09,2200-01-01,ANDEN_DELTAGER,-1,30507029
Reelle ejere,4004261698,5777784,EJERANDEL_STEMMERET_PROCENT,0.97,2008-07-09,2200-01-01,ANDEN_DELTAGER,-1,30507029
Reelle ejere,4004261698,5777784,FUNKTION,Reel ejer,2008-07-09,2200-01-01,ANDEN_DELTAGER,-1,30507029
Reelle ejere,4003996726,4000332722,FUNKTION,Reel ejer,1957-09-27,2017-11-27,PERSON,-1,20283416
Reelle ejere,4004045039,4000332722,FUNKTION,Reel ejer,1957-09-27,2017-08-30,PERSON,-1,20283416
Reelle ejere,4004062064,4000332722,FUNKTION,Reel ejer,1957-09-27,2017-11-27,PERSON,-1,20283416
Reelle ejere,4004084056,4000332722,FUNKTION,Reel ejer,1957-09-27,2017-11-27,PERSON,-1,20283416
Reelle ejere,4003929610,4000333229,EJERANDEL_PROCENT,0.51,2000-04-19,2200-01-01,PERSON,-1,28672012
Reelle ejere,4003929610,4000333229,EJERANDEL_STEMMERET_PROCENT,0.51,2000-04-19,2200-01-01,PERSON,-1,28672012
Reelle ejere,4003929610,4000333229,SÆRLIGE_EJERFORHOLD,Har indirekte besiddelser,2000-04-19,2200-01-01,PERSON,-1,28672012
Reelle ejere,4003929610,4000333229,FUNKTION,Reel ejer,2000-04-19,2200-01-01,PERSON,-1,28672012
Reelle ejere,4000225595,4000807533,EJERANDEL_STEMMERET_PROCENT,0.77,2004-05-13,2200-01-01,PERSON,-1,10551307
Reelle ejere,4000225595,4000807533,EJERANDEL_PROCENT,0.25,2004-05-13,2200-01-01,PERSON,-1,10551307
Reelle ejere,4000225595,4000807533,FUNKTION,Reel ejer,2004-05-13,2200-01-01,PERSON,-1,10551307
Reelle ejere,4000225595,4000807533,SÆRLIGE_EJERFORHOLD,Har indirekte besiddelser,2004-05-13,2200-01-01,PERSON,-1,10551307
Reelle ejere,4003985296,4000807533,SÆRLIGE_EJERFORHOLD,Har indirekte besiddelser,2004-05-13,2200-01-01,PERSON,-1,10551307
Reelle ejere,4003985296,4000807533,FUNKTION,Reel ejer,2004-05-13,2200-01-01,PERSON,-1,10551307
