orgnavn,enhedsnummer_deltager,enhedsnummer_virksomhed,vaerdinavn,vaerdi,gyldigfra,gyldigtil,enhedstype_deltager,cvrnummer_deltager,cvrnummer_virksomhed
Revision,5125322,2245721,FUNKTION,REVISION,2010-09-24,2018-10-02,VIRKSOMHED,32895468,73548918
Revision,5125322,994829,FUNKTION,REVISION,2016-07-04,2018-09-10,VIRKSOMHED,32895468,15290188
Revision,5766347,994829,FUNKTION,REVISION,2013-02-07,2016-07-04,VIRKSOMHED,34713022,15290188
Revision,5125322,1621628,FUNKTION,REVISION,2016-05-01,2200-01-01,VIRKSOMHED,32895468,17729772
Revision,2909281,1621628,FUNKTION,REVISION,1993-12-31,2016-05-01,VIRKSOMHED,43622811,17729772
Revision,5125322,2275010,FUNKTION,REVISION,2016-05-01,2200-01-01,VIRKSOMHED,32895468,20957387
Revision,4000769902,2275010,FUNKTION,REVISION,2013-01-01,2016-05-01,VIRKSOMHED,34884935,20957387
Revision,5125322,1047707,FUNKTION,REVISION,2010-09-13,2200-01-01,VIRKSOMHED,32895468,70378612
Revision,5125322,701043,FUNKTION,REVISION,2010-09-24,2200-01-01,VIRKSOMHED,32895468,37984515
Revision,5125322,2115912,FUNKTION,REVISION,2018-08-01,2200-01-01,VIRKSOMHED,32895468,12422644
Revision,5651072,2115912,FUNKTION,REVISION,2011-10-13,2018-08-01,VIRKSOMHED,33963556,12422644
Revision,5125322,505290,FUNKTION,REVISION,2017-05-05,2200-01-01,VIRKSOMHED,32895468,66732428
Revision,5766347,505290,FUNKTION,REVISION,2013-01-17,2017-05-05,VIRKSOMHED,34713022,66732428
Revision,5125322,1828209,FUNKTION,REVISION,2010-09-30,2200-01-01,VIRKSOMHED,32895468,85232312
Revision,5125322,1785103,FUNKTION,REVISION,2010-09-24,2016-03-16,VIRKSOMHED,32895468,15355549
Revision,5125322,1785103,FUNKTION,REVISION,2016-03-17,2200-01-01,VIRKSOMHED,32895468,15355549
Revision,5125322,2254060,FUNKTION,REVISION,2010-09-13,2200-01-01,VIRKSOMHED,32895468,66441318
Revision,5125322,1788934,FUNKTION,REVISION,2016-06-28,2200-01-01,VIRKSOMHED,32895468,18187671
Revision,2909281,1788934,FUNKTION,REVISION,2008-11-17,2016-06-28,VIRKSOMHED,43622811,18187671
Revision,5125322,1716477,FUNKTION,REVISION,2010-09-24,2200-01-01,VIRKSOMHED,32895468,19351211
Revision,5125322,2187512,FUNKTION,REVISION,2011-01-01,2200-01-01,VIRKSOMHED,32895468,36669616
Revision,5125322,1279214,FUNKTION,REVISION,2010-10-25,2017-04-27,VIRKSOMHED,32895468,34250316
Revision,4000769917,1279214,FUNKTION,REVISION,2017-04-27,2200-01-01,VIRKSOMHED,33771231,34250316
Revision,5125322,1849603,FUNKTION,REVISION,2010-09-13,2200-01-01,VIRKSOMHED,32895468,17007971
Revision,5125322,783454,FUNKTION,REVISION,2010-10-01,2018-09-26,VIRKSOMHED,32895468,50228312
Revision,5125322,2272987,FUNKTION,REVISION,2010-10-25,2200-01-01,VIRKSOMHED,32895468,21265837
Revision,5125322,1616925,FUNKTION,REVISION,2016-05-19,2017-10-27,VIRKSOMHED,32895468,75128711
Revision,4751597,1616925,FUNKTION,REVISION,2017-10-27,2200-01-01,VIRKSOMHED,30700228,75128711
Revision,5766347,1616925,FUNKTION,REVISION,2013-01-28,2016-05-19,VIRKSOMHED,34713022,75128711
Revision,5125322,147515,FUNKTION,REVISION,2010-09-20,2200-01-01,VIRKSOMHED,32895468,69042910
Revision,5125322,893703,FUNKTION,REVISION,2010-09-24,2200-01-01,VIRKSOMHED,32895468,53182615
Revision,5125322,1412820,FUNKTION,REVISION,2016-05-24,2200-01-01,VIRKSOMHED,32895468,81710813
Revision,5766347,1412820,FUNKTION,REVISION,2013-01-17,2016-05-24,VIRKSOMHED,34713022,81710813
Revision,5125322,2180839,FUNKTION,REVISION,2010-09-24,2017-07-06,VIRKSOMHED,32895468,14458514
Revision,5125322,2180839,FUNKTION,REVISION,2017-07-13,2017-09-26,VIRKSOMHED,32895468,14458514
Revision,4751597,2180839,FUNKTION,REVISION,2017-07-06,2017-07-13,VIRKSOMHED,30700228,14458514
Revision,4751597,2180839,FUNKTION,REVISION,2017-09-26,2200-01-01,VIRKSOMHED,30700228,14458514
Revision,5125322,1565926,FUNKTION,REVISION,2010-09-24,2018-05-08,VIRKSOMHED,32895468,10238889
Revision,5538780,1565926,FUNKTION,REVISION,2018-05-08,2200-01-01,VIRKSOMHED,34209936,10238889
Revision,5125322,1698192,FUNKTION,REVISION,2013-05-13,2017-12-19,VIRKSOMHED,32895468,74760716
Revision,5125322,1705902,FUNKTION,REVISION,2010-09-25,2200-01-01,VIRKSOMHED,32895468,79300918
Revision,5125322,2014593,FUNKTION,REVISION,2016-05-20,2200-01-01,VIRKSOMHED,32895468,18465388
Revision,5766347,2014593,FUNKTION,REVISION,2013-01-14,2016-05-20,VIRKSOMHED,34713022,18465388
Revision,5125322,1850249,FUNKTION,REVISION,2018-08-21,2200-01-01,VIRKSOMHED,32895468,43910515
Revision,5651072,1850249,FUNKTION,REVISION,2011-10-13,2018-08-21,VIRKSOMHED,33963556,43910515
Revision,5125322,554298,FUNKTION,REVISION,2010-09-24,2200-01-01,VIRKSOMHED,32895468,63338214
Revision,5125322,1312300,FUNKTION,REVISION,2012-11-01,2200-01-01,VIRKSOMHED,32895468,12375107
Revision,5125322,819311,FUNKTION,REVISION,2016-05-01,2200-01-01,VIRKSOMHED,32895468,63578428
Revision,5766347,819311,FUNKTION,REVISION,2013-07-05,2016-05-01,VIRKSOMHED,34713022,63578428
Revision,5125322,808587,FUNKTION,REVISION,2010-09-24,2200-01-01,VIRKSOMHED,32895468,16501611
Revision,5125322,2145832,FUNKTION,REVISION,2010-10-20,2200-01-01,VIRKSOMHED,32895468,14405879
Revision,5125322,825434,FUNKTION,REVISION,2010-09-13,2200-01-01,VIRKSOMHED,32895468,71265714
Revision,5125322,2254044,FUNKTION,REVISION,2016-12-15,2200-01-01,VIRKSOMHED,32895468,24257061
Revision,5651072,2254044,FUNKTION,REVISION,2012-06-28,2016-12-15,VIRKSOMHED,33963556,24257061
Revision,5125322,825433,FUNKTION,REVISION,2010-09-13,2200-01-01,VIRKSOMHED,32895468,10294673
Revision,5125322,2316605,FUNKTION,REVISION,2010-09-24,2200-01-01,VIRKSOMHED,32895468,20921099
Revision,5125322,623302,FUNKTION,REVISION,2010-09-24,2200-01-01,VIRKSOMHED,32895468,10775345
Revision,5125322,1995274,FUNKTION,REVISION,2011-07-15,2017-06-30,VIRKSOMHED,32895468,86668211
Revision,4000769917,1995274,FUNKTION,REVISION,2018-10-30,2200-01-01,VIRKSOMHED,33771231,86668211
Revision,4001991026,1995274,FUNKTION,REVISION,2017-06-30,2018-10-30,VIRKSOMHED,25578198,86668211
Revision,5125322,2263617,FUNKTION,REVISION,2010-09-13,2200-01-01,VIRKSOMHED,32895468,15108339
Revision,5125322,2762610,FUNKTION,REVISION,2015-08-01,2015-12-30,VIRKSOMHED,32895468,26439299
Revision,4751597,2762610,FUNKTION,REVISION,2015-12-30,2017-05-26,VIRKSOMHED,30700228,26439299
Revision,1756464,2762610,FUNKTION,REVISION,2011-04-18,2015-08-01,VIRKSOMHED,16839736,26439299
Revision,5125322,2961842,FUNKTION,REVISION,2013-07-01,2200-01-01,VIRKSOMHED,32895468,10315700
Revision,5125322,2702660,FUNKTION,REVISION,2010-11-25,2017-06-12,VIRKSOMHED,32895468,71363511
Revision,5125322,3056606,FUNKTION,REVISION,2013-08-08,2200-01-01,VIRKSOMHED,32895468,25372727
Revision,5125322,2913036,FUNKTION,REVISION,2010-09-30,2200-01-01,VIRKSOMHED,32895468,18896249
Revision,5125322,2638818,FUNKTION,REVISION,2012-12-05,2200-01-01,VIRKSOMHED,32895468,25789202
Revision,5125322,2541654,FUNKTION,REVISION,2013-07-01,2200-01-01,VIRKSOMHED,32895468,18576694
Revision,5125322,3090922,FUNKTION,REVISION,2010-09-29,2200-01-01,VIRKSOMHED,32895468,26368138
Revision,5125322,3045509,FUNKTION,REVISION,2013-07-01,2200-01-01,VIRKSOMHED,32895468,24241718
Revision,5125322,3052656,FUNKTION,REVISION,2017-07-12,2200-01-01,VIRKSOMHED,32895468,24211282
