enhedsnummer,cvrnummer,felttype,branchekode,branchetekst,gyldigfra,gyldigtil
2551095,10000157,hovedbranche,642020,Ikke-finansielle holdingselskaber,2008-01-01,2200-01-01
4001248440,10000416,hovedbranche,642020,Ikke-finansielle holdingselskaber,2008-01-02,2200-01-01
3357042,10000866,bibranche1,682040,Udlejning af erhvervsejendomme,2017-03-01,2200-01-01
3357042,10000866,hovedbranche,642020,Ikke-finansielle holdingselskaber,2009-01-01,2200-01-01
4001256597,10006252,hovedbranche,466300,Engroshandel med maskiner til minedrift og bygge- og anlægsvirksomhed,2008-01-01,2200-01-01
4000769967,10007127,bibranche1,682040,Udlejning af erhvervsejendomme,2008-01-01,2200-01-01
4000769967,10007127,hovedbranche,201400,Fremstilling af andre organiske basiskemikalier,2008-01-01,2200-01-01
4001256892,10007828,hovedbranche,642020,Ikke-finansielle holdingselskaber,2008-01-01,2200-01-01
4001256895,10008050,hovedbranche,611000,Fastnetbaseret telekommunikation,2013-12-01,2018-02-12
4001256898,10008123,bibranche1,631100,"Databehandling, webhosting og lignende serviceydelser",2008-01-02,2200-01-01
4001256898,10008123,hovedbranche,611000,Fastnetbaseret telekommunikation,2008-01-01,2200-01-01
3129617,10008824,hovedbranche,469000,Ikke-specialiseret engroshandel,2008-01-01,2200-01-01
5422092,10009251,hovedbranche,702200,Virksomhedsrådgivning og anden rådgivning om driftsledelse,2010-01-01,2014-04-01
5496117,10010128,hovedbranche,702200,Virksomhedsrådgivning og anden rådgivning om driftsledelse,2008-01-01,2200-01-01
4001247150,10010624,hovedbranche,642020,Ikke-finansielle holdingselskaber,2009-01-01,2200-01-01
4001247160,10011027,hovedbranche,642020,Ikke-finansielle holdingselskaber,2008-01-01,2017-01-30
4000340581,10011663,hovedbranche,563000,"Cafeér, værtshuse, diskoteker mv.",2008-01-01,2200-01-01
4001254880,10013267,hovedbranche,721100,Forskning og eksperimentel udvikling indenfor bioteknologi,2008-01-01,2200-01-01
4001257896,10015510,hovedbranche,381100,Indsamling af ikke-farligt affald,2008-01-01,2200-01-01
4000797427,10016371,hovedbranche,464310,Engroshandel med hårde hvidevarer,2008-01-01,2200-01-01
4108693,10017629,hovedbranche,642020,Ikke-finansielle holdingselskaber,2009-01-01,2200-01-01
2450548,10019036,bibranche1,682040,Udlejning af erhvervsejendomme,2008-01-02,2200-01-01
2450548,10019036,hovedbranche,412000,Opførelse af bygninger,2008-01-01,2200-01-01
4001252025,10019427,bibranche1,469000,Ikke-specialiseret engroshandel,2017-09-07,2200-01-01
