cvrnummer,formkode,kortbeskrivelse,langbeskrivelse,gyldigfra,gyldigtil
11918786,30,I/S,Interessentskab,1999-01-03,2200-01-01
24252019,30,I/S,Interessentskab,1996-09-01,2200-01-01
33757093,30,I/S,Interessentskab,2011-06-10,2200-01-01
10619246,30,I/S,Interessentskab,1986-12-01,2200-01-01
19971945,30,I/S,Interessentskab,1997-02-26,2014-10-08
20048085,30,I/S,Interessentskab,1997-02-24,2019-01-09
24255298,30,I/S,Interessentskab,1999-07-01,2200-01-01
24246787,30,I/S,Interessentskab,1999-10-16,2200-01-01
25714229,30,I/S,Interessentskab,2000-05-01,2200-01-01
25813286,30,I/S,Interessentskab,2000-12-15,2200-01-01
28133472,30,I/S,Interessentskab,2004-10-15,2200-01-01
31418763,30,I/S,Interessentskab,2008-04-28,2200-01-01
31941229,30,I/S,Interessentskab,2009-01-21,2017-12-28
32505821,30,I/S,Interessentskab,2010-01-01,2200-01-01
33504764,30,I/S,Interessentskab,2011-02-21,2200-01-01
33967748,30,I/S,Interessentskab,2011-10-20,2200-01-01
28886845,40,K/S,Kommanditselskab,2005-07-01,2015-10-21
28886845,40,K/S,Kommanditselskab,2015-10-22,2015-10-22
28886845,40,K/S,Kommanditselskab,2015-10-23,2200-01-01
28707398,40,K/S,Kommanditselskab,2005-05-10,2200-01-01
29146713,40,K/S,Kommanditselskab,2005-10-17,2200-01-01
28485239,40,K/S,Kommanditselskab,2004-12-16,2018-02-06
29810036,40,K/S,Kommanditselskab,2007-01-12,2015-10-21
29810036,40,K/S,Kommanditselskab,2015-10-22,2200-01-01
30724437,40,K/S,Kommanditselskab,2007-07-16,2200-01-01
28667477,40,K/S,Kommanditselskab,2006-10-31,2200-01-01
32258611,40,K/S,Kommanditselskab,2009-06-10,2200-01-01
29307571,40,K/S,Kommanditselskab,2006-01-04,2200-01-01
34053081,40,K/S,Kommanditselskab,2011-11-11,2018-12-25
32765076,40,K/S,Kommanditselskab,2010-01-29,2200-01-01
33358784,40,K/S,Kommanditselskab,2010-11-23,2200-01-01
33247885,40,K/S,Kommanditselskab,2010-10-07,2200-01-01
34453934,40,K/S,Kommanditselskab,2012-03-01,2200-01-01
34885079,40,K/S,Kommanditselskab,2012-12-13,2200-01-01
34729026,40,K/S,Kommanditselskab,2012-10-31,2200-01-01
14517189,40,K/S,Kommanditselskab,1990-08-27,2015-01-30
15751274,40,K/S,Kommanditselskab,1991-06-25,2200-01-01
24247791,40,K/S,Kommanditselskab,1994-10-01,2200-01-01
27025390,40,K/S,Kommanditselskab,2003-02-05,2200-01-01
15696230,40,K/S,Kommanditselskab,1991-10-31,2200-01-01
20728132,40,K/S,Kommanditselskab,1998-03-06,2200-01-01
10551307,40,K/S,Kommanditselskab,1986-12-29,2200-01-01
16427284,40,K/S,Kommanditselskab,1992-09-01,2200-01-01
16301671,40,K/S,Kommanditselskab,1993-07-16,2018-03-02
18688581,40,K/S,Kommanditselskab,1995-08-01,2017-03-31
25268997,40,K/S,Kommanditselskab,2000-03-05,2200-01-01
